data,plataforma,impressoes,cliques,custo,conversoes,receita,ctr,cpc,cpm,roas,cpa
2025-09-29,TikTok Ads,17102,0,42.54,0.0,0.0,0.0,0.0,2.49,0.0,0.0
2025-09-30,TikTok Ads,16584,0,41.56,0.0,0.0,0.0,0.0,2.51,0.0,0.0
2025-10-01,TikTok Ads,19121,0,40.19,0.0,0.0,0.0,0.0,2.1,0.0,0.0
2025-10-02,TikTok Ads,18686,0,40.75,0.0,0.0,0.0,0.0,2.18,0.0,0.0
2025-10-03,TikTok Ads,19340,0,40.83,0.0,0.0,0.0,0.0,2.11,0.0,0.0
2025-10-04,TikTok Ads,19342,0,38.47,0.0,0.0,0.0,0.0,1.99,0.0,0.0
2025-10-05,TikTok Ads,19237,0,37.51,0.0,0.0,0.0,0.0,1.95,0.0,0.0
2025-10-06,TikTok Ads,17926,0,37.39,0.0,0.0,0.0,0.0,2.09,0.0,0.0
2025-10-07,TikTok Ads,17068,0,38.01,0.0,0.0,0.0,0.0,2.23,0.0,0.0
2025-10-08,TikTok Ads,15995,0,37.29,0.0,0.0,0.0,0.0,2.33,0.0,0.0
2025-10-09,TikTok Ads,15966,0,36.76,0.0,0.0,0.0,0.0,2.3,0.0,0.0
2025-10-10,TikTok Ads,17566,0,37.58,0.0,0.0,0.0,0.0,2.14,0.0,0.0
2025-10-11,TikTok Ads,17101,0,34.72,0.0,0.0,0.0,0.0,2.03,0.0,0.0
2025-10-12,TikTok Ads,17636,0,34.86,0.0,0.0,0.0,0.0,1.98,0.0,0.0
2025-10-13,TikTok Ads,16174,0,33.98,0.0,0.0,0.0,0.0,2.1,0.0,0.0
2025-10-14,TikTok Ads,15236,0,33.94,0.0,0.0,0.0,0.0,2.23,0.0,0.0
2025-10-15,TikTok Ads,13922,0,32.7,0.0,0.0,0.0,0.0,2.35,0.0,0.0
2025-10-16,TikTok Ads,13915,0,33.14,0.0,0.0,0.0,0.0,2.38,0.0,0.0
2025-10-17,TikTok Ads,14644,0,33.59,0.0,0.0,0.0,0.0,2.29,0.0,0.0
2025-10-18,TikTok Ads,14516,0,30.94,0.0,0.0,0.0,0.0,2.13,0.0,0.0
2025-10-19,TikTok Ads,13797,0,29.35,0.0,0.0,0.0,0.0,2.13,0.0,0.0
2025-10-20,TikTok Ads,12737,0,28.54,0.0,0.0,0.0,0.0,2.24,0.0,0.0
2025-10-21,TikTok Ads,11039,0,27.18,0.0,0.0,0.0,0.0,2.46,0.0,0.0
2025-10-22,TikTok Ads,9722,0,25.24,0.0,0.0,0.0,0.0,2.6,0.0,0.0
2025-10-23,TikTok Ads,8995,0,22.95,0.0,0.0,0.0,0.0,2.55,0.0,0.0
2025-10-24,TikTok Ads,5910,0,13.93,0.0,0.0,0.0,0.0,2.36,0.0,0.0
2025-10-25,TikTok Ads,4005,0,8.84,0.0,0.0,0.0,0.0,2.21,0.0,0.0
2025-10-26,TikTok Ads,825,0,1.63,0.0,0.0,0.0,0.0,1.98,0.0,0.0
2025-10-27,TikTok Ads,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-30,TikTok Ads,13255,5,38.98,0.0,0.0,0.04,7.8,2.94,0.0,0.0
2025-10-31,TikTok Ads,25618,9,77.64,0.0,0.0,0.04,8.63,3.03,0.0,0.0
2025-11-01,TikTok Ads,28983,15,74.28,0.0,0.0,0.05,4.95,2.56,0.0,0.0
2025-11-02,TikTok Ads,27761,21,68.81,0.0,0.0,0.08,3.28,2.48,0.0,0.0
2025-11-03,TikTok Ads,25771,7,67.53,0.0,0.0,0.03,9.65,2.62,0.0,0.0
2025-11-04,TikTok Ads,26857,10,69.31,0.0,0.0,0.04,6.93,2.58,0.0,0.0
2025-11-05,TikTok Ads,25235,16,67.83,0.0,0.0,0.06,4.24,2.69,0.0,0.0
2025-11-06,TikTok Ads,22915,11,65.24,0.0,0.0,0.05,5.93,2.85,0.0,0.0
2025-11-07,TikTok Ads,20477,8,59.9,0.0,0.0,0.04,7.49,2.93,0.0,0.0
2025-11-08,TikTok Ads,17885,15,46.16,0.0,0.0,0.08,3.08,2.58,0.0,0.0
2025-11-09,TikTok Ads,15071,5,40.19,0.0,0.0,0.03,8.04,2.67,0.0,0.0
2025-11-10,TikTok Ads,14680,9,41.48,0.0,0.0,0.06,4.61,2.83,0.0,0.0
2025-11-11,TikTok Ads,19862,875,86.18,0.0,0.0,4.41,0.1,4.34,0.0,0.0
2025-11-12,TikTok Ads,18801,937,80.31,0.0,0.0,4.98,0.09,4.27,0.0,0.0
2025-11-13,TikTok Ads,18344,1227,87.77,0.0,0.0,6.69,0.07,4.78,0.0,0.0
2025-11-14,TikTok Ads,16957,1334,90.39,0.0,0.0,7.87,0.07,5.33,0.0,0.0
2025-11-15,TikTok Ads,16921,756,77.07,0.0,0.0,4.47,0.1,4.55,0.0,0.0
2025-11-16,TikTok Ads,16845,1058,80.79,0.0,0.0,6.28,0.08,4.8,0.0,0.0
2025-11-17,TikTok Ads,16071,1037,77.23,0.0,0.0,6.45,0.07,4.81,0.0,0.0
2025-11-18,TikTok Ads,15100,624,73.93,0.0,0.0,4.13,0.12,4.9,0.0,0.0
2025-11-19,TikTok Ads,14499,886,77.25,0.0,0.0,6.11,0.09,5.33,0.0,0.0
2025-11-20,TikTok Ads,15321,870,74.49,0.0,0.0,5.68,0.09,4.86,0.0,0.0
2025-11-21,TikTok Ads,15006,829,65.77,0.0,0.0,5.52,0.08,4.38,0.0,0.0
2025-11-22,TikTok Ads,14718,843,64.4,0.0,0.0,5.73,0.08,4.38,0.0,0.0
2025-11-23,TikTok Ads,16389,900,65.58,0.0,0.0,5.49,0.07,4.0,0.0,0.0
2025-11-24,TikTok Ads,12954,850,62.32,0.0,0.0,6.56,0.07,4.81,0.0,0.0
2025-11-25,TikTok Ads,29275,790,105.0,0.0,0.0,2.7,0.13,3.59,0.0,0.0
2025-11-26,TikTok Ads,35751,811,120.58,0.0,0.0,2.27,0.15,3.37,0.0,0.0
2025-11-27,TikTok Ads,34901,696,131.9,0.0,0.0,1.99,0.19,3.78,0.0,0.0
2025-11-28,TikTok Ads,30427,716,125.88,0.0,0.0,2.35,0.18,4.14,0.0,0.0
2025-11-29,TikTok Ads,33029,884,128.63,0.0,0.0,2.68,0.15,3.89,0.0,0.0
2025-11-30,TikTok Ads,19422,1015,79.69,0.0,0.0,5.23,0.08,4.1,0.0,0.0
2025-12-01,TikTok Ads,19609,968,69.13,0.0,0.0,4.94,0.07,3.53,0.0,0.0
2025-12-02,TikTok Ads,19715,1040,72.75,0.0,0.0,5.28,0.07,3.69,0.0,0.0
2025-12-03,TikTok Ads,23820,1024,76.29,0.0,0.0,4.3,0.07,3.2,0.0,0.0
2025-12-04,TikTok Ads,29208,1037,91.14,0.0,0.0,3.55,0.09,3.12,0.0,0.0
2025-12-05,TikTok Ads,27808,905,91.44,0.0,0.0,3.25,0.1,3.29,0.0,0.0
2025-12-06,TikTok Ads,26033,1018,97.27,0.0,0.0,3.91,0.1,3.74,0.0,0.0
2025-12-07,TikTok Ads,26315,848,94.33,0.0,0.0,3.22,0.11,3.58,0.0,0.0
2025-12-08,TikTok Ads,29389,1057,99.44,0.0,0.0,3.6,0.09,3.38,0.0,0.0
2025-12-09,TikTok Ads,30672,1027,94.18,0.0,0.0,3.35,0.09,3.07,0.0,0.0
