data,shopping,shopping_sigla,plataforma,impressoes,cliques,custo,conversoes,receita,roas,cpa,ctr
2026-01-10,GERAL,GERAL,Google Ads,633037,15069,3000.1853689999994,10524.052213,7.0,0.0023331891663524746,0.28507891335753477,2.380429579945564
2026-01-10,BS,BS,Meta Ads,282194,333,426.67,0.0,0.0,0.0,0.0,0.11800392637688967
2026-01-10,GS,GS,Meta Ads,318387,360,421.08000000000004,0.0,0.0,0.0,0.0,0.11306994318235354
2026-01-10,NR,NR,Meta Ads,305940,340,442.1,0.0,0.0,0.0,0.0,0.11113290187618487
2026-01-10,NS,NS,Meta Ads,346572,563,488.42,0.0,0.0,0.0,0.0,0.1624482070103759
2026-01-11,GERAL,GERAL,Google Ads,589993,14633,2449.230269,8142.841972,4.0,0.0016331661627035036,0.3007832249995678,2.4801989176142767
2026-01-11,BS,BS,Meta Ads,230064,235,367.0,0.0,0.0,0.0,0.0,0.10214548995062242
2026-01-11,GS,GS,Meta Ads,246559,263,380.42,0.0,0.0,0.0,0.0,0.10666818084109685
2026-01-11,NR,NR,Meta Ads,254753,276,413.95000000000005,0.0,0.0,0.0,0.0,0.10834023544374356
2026-01-11,NS,NS,Meta Ads,288383,479,414.92,0.0,0.0,0.0,0.0,0.16609855643363167
2026-01-12,CS,CS,Meta Ads,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-12,GS,GS,Meta Ads,204844,220,354.63,0.0,0.0,0.0,0.0,0.10739880103883932
2026-01-12,NR,NR,Meta Ads,224530,232,408.43999999999994,0.0,0.0,0.0,0.0,0.10332694962811206
2026-01-12,GERAL,GERAL,Google Ads,445411,13329,2148.9615289999997,7128.578246,19.0,0.008841479823438943,0.3014572408187886,2.99251702360292
2026-01-12,BS,BS,Meta Ads,183776,167,333.17,0.0,0.0,0.0,0.0,0.09087149573393696
2026-01-12,NS,NS,Meta Ads,267483,471,435.54999999999995,0.0,0.0,0.0,0.0,0.1760859568645484
2026-01-13,BS,BS,Meta Ads,168174,181,331.69,0.0,0.0,0.0,0.0,0.10762662480526121
2026-01-13,GS,GS,Meta Ads,191925,196,360.90999999999997,0.0,0.0,0.0,0.0,0.10212322521818418
2026-01-13,NR,NR,Meta Ads,110156,108,215.03,0.0,0.0,0.0,0.0,0.09804277569991648
2026-01-13,NS,NS,Meta Ads,262361,480,466.31,0.0,0.0,0.0,0.0,0.18295402136750508
2026-01-13,GERAL,GERAL,Google Ads,495532,14207,2270.9334720000006,7379.066760999999,14.0,0.006164865757899224,0.3077534796137618,2.8670196879313545
2026-01-14,BS,BS,Meta Ads,155391,151,326.41,0.0,0.0,0.0,0.0,0.09717422501946703
2026-01-14,NS,NS,Meta Ads,236294,468,462.62,0.0,0.0,0.0,0.0,0.19805835103726713
2026-01-14,GS,GS,Meta Ads,179449,207,370.81,0.0,0.0,0.0,0.0,0.11535310868268979
2026-01-14,GERAL,GERAL,Google Ads,503858,13738,2137.3268890000004,6861.138458,12.0,0.0056144897917858915,0.31151198916674017,2.7265618487748533
2026-01-15,GERAL,GERAL,Google Ads,507270,13219,2445.3353539999994,7008.690237000001,13.0,0.005316244243855971,0.34890047516876715,2.605910067616851
2026-01-15,BS,BS,Meta Ads,204892,176,404.95000000000005,0.0,0.0,0.0,0.0,0.08589891259785642
2026-01-15,CS,CS,Meta Ads,302427,425,404.75,0.0,0.0,0.0,0.0,0.14052978074047623
2026-01-15,GS,GS,Meta Ads,168422,197,384.58,0.0,0.0,0.0,0.0,0.11696809205448219
2026-01-15,NR,NR,Meta Ads,397921,433,872.5600000000001,0.0,0.0,0.0,0.0,0.1088155689194589
2026-01-15,NS,NS,Meta Ads,225335,453,488.37,0.0,0.0,0.0,0.0,0.20103401602059157
2026-01-16,GS,GS,Meta Ads,220629,234,440.85999999999996,0.0,0.0,0.0,0.0,0.10606040003807296
2026-01-16,GERAL,GERAL,Google Ads,521942,9887,2919.347996,7470.698887,7.0,0.002397795675469722,0.39077307761393654,1.8942717773239173
2026-01-16,BS,BS,Meta Ads,222339,203,421.72,0.0,0.0,0.0,0.0,0.09130202078807587
2026-01-16,CS,CS,Meta Ads,516421,726,709.9100000000001,0.0,0.0,0.0,0.0,0.14058297396891295
2026-01-16,NS,NS,Meta Ads,273345,489,568.7,0.0,0.0,0.0,0.0,0.17889480327059212
2026-01-16,NR,NR,Meta Ads,302250,432,666.86,0.0,0.0,0.0,0.0,0.14292803970223325
2026-01-17,GS,GS,Meta Ads,221969,226,380.99999999999994,0.0,0.0,0.0,0.0,0.10181601935405395
2026-01-17,CS,CS,Meta Ads,556956,808,764.23,0.0,0.0,0.0,0.0,0.14507429671284625
2026-01-17,BS,BS,Meta Ads,248513,199,438.17999999999995,0.0,0.0,0.0,0.0,0.0800762937954956
2026-01-17,NS,NS,Meta Ads,308048,475,501.33000000000004,0.0,0.0,0.0,0.0,0.1541967485586662
2026-01-17,NR,NR,Meta Ads,312093,481,625.8900000000001,0.0,0.0,0.0,0.0,0.1541207268346294
2026-01-17,GERAL,GERAL,Google Ads,555034,12578,3164.5798139999997,8729.909025,22.0,0.006951949798413269,0.3624986016392077,2.266167478028373
2026-01-18,GERAL,GERAL,Google Ads,366121,8039,3031.2296739999992,7447.177321,26.0,0.008577377103098393,0.4070306833506374,2.1957221792795276
2026-01-18,BS,BS,Meta Ads,120399,85,168.68,0.0,0.0,0.0,0.0,0.07059859301156987
2026-01-18,CS,CS,Meta Ads,277439,449,386.9,0.0,0.0,0.0,0.0,0.16183737686482433
2026-01-18,GS,GS,Meta Ads,95697,116,146.48000000000002,0.0,0.0,0.0,0.0,0.12121592108425552
