campaign_id,stat_time_day,video_views_p75,video_views_p50,average_video_play_per_user,video_watched_2s,video_watched_6s,video_views_p25,total_complete_payment_rate,cost_per_conversion,engaged_view,clicks,conversion_rate,impressions,cpc,engaged_view_15s,video_views_p100,video_play_actions,ctr,average_video_play,conversion,spend,cpm,shopping,shopping_sigla,campaign_name,objective_type
1866451828239378,2026-05-31 00:00:00,36,78,2.85,522,107,202,0.0,0.0,108,0,0.0,7670,0.0,28,22,7639,0.0,2.84,0,12.93,1.69,Nacoes Shopping,NS,ALC - TROCA DE FIGURINHAS,REACH
1863928955315249,2026-05-19 00:00:00,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,Nacoes Shopping,NS,TRAF - PROMO MAES,TRAFFIC
1866451828239378,2026-06-13 00:00:00,31,59,1.06,448,75,162,0.0,0.0,73,0,0.0,6741,0.0,23,20,6710,0.0,1.05,0,12.16,1.8,Nacoes Shopping,NS,ALC - TROCA DE FIGURINHAS,REACH
1866451828239378,2026-06-03 00:00:00,25,67,1.08,502,84,188,0.0,0.0,89,0,0.0,7015,0.0,21,15,6992,0.0,1.07,0,13.25,1.89,Nacoes Shopping,NS,ALC - TROCA DE FIGURINHAS,REACH
1866441986593986,2026-06-10 00:00:00,21,30,1.64,970,164,64,0.0,0.0,165,14,0.0,13023,1.95,50,13,12905,0.11,1.33,0,27.32,2.1,Nacoes Shopping,NS,ALC - PROMO NAMORADOS 26,REACH
1866441986593986,2026-05-31 00:00:00,34,48,1.1,1016,178,126,0.0,0.0,192,48,0.0,17145,0.71,78,24,17055,0.28,1.09,0,33.95,1.98,Nacoes Shopping,NS,ALC - PROMO NAMORADOS 26,REACH
1866451828239378,2026-06-27 00:00:00,8,25,0.96,173,36,63,0.0,0.0,37,0,0.0,3183,0.0,7,5,3167,0.0,0.96,0,6.25,1.96,Nacoes Shopping,NS,ALC - TROCA DE FIGURINHAS,REACH
1869534270825826,2026-07-03 00:00:00,231,398,1.57,4108,928,922,0.0,0.0,933,0,0.0,50990,0.0,303,122,50417,0.0,1.21,0,131.98,2.59,Nacoes Shopping,NS,ALC - SALE,REACH
1866451828239378,2026-06-17 00:00:00,20,45,1.07,339,61,118,0.0,0.0,63,0,0.0,5421,0.0,16,13,5388,0.0,1.06,0,10.42,1.92,Nacoes Shopping,NS,ALC - TROCA DE FIGURINHAS,REACH
1848504928619618,2026-07-03 00:00:00,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,Nacoes Shopping,NS,TRAF - NATAL 25,TRAFFIC
