shopping,shopping_sigla,hora,dia_semana,impressoes,cliques,ctr,custo,conversoes,valor_conversoes
GERAL,GERAL,23,SATURDAY,202,39,0.19306930693069307,4.009199,22.854166,0.0
GERAL,GERAL,0,SUNDAY,408,88,0.21568627450980393,5.758854,54.915063,0.0
GERAL,GERAL,1,SUNDAY,240,51,0.2125,3.205449,34.132576,0.0
GERAL,GERAL,2,SUNDAY,148,38,0.25675675675675674,2.414192,22.833333,0.0
GERAL,GERAL,3,SUNDAY,91,24,0.26373626373626374,1.788567,18.487181,0.0
GERAL,GERAL,4,SUNDAY,65,11,0.16923076923076924,0.785305,6.833334,0.0
GERAL,GERAL,5,SUNDAY,89,11,0.12359550561797752,0.977628,10.5,0.0
GERAL,GERAL,6,SUNDAY,209,41,0.19617224880382775,3.562284,21.5,0.0
GERAL,GERAL,7,SUNDAY,562,110,0.19572953736654805,9.072393,82.645834,2.0
GERAL,GERAL,8,SUNDAY,1440,299,0.2076388888888889,22.753387,196.67619,2.0
GERAL,GERAL,9,SUNDAY,2569,492,0.1915142078629817,39.28482,387.543198,5.0
GERAL,GERAL,10,SUNDAY,3654,762,0.20853858784893267,55.819564,582.201001,6.0
GERAL,GERAL,11,SUNDAY,4280,943,0.22032710280373832,72.136492,718.615283,3.0
GERAL,GERAL,12,SUNDAY,4617,1086,0.23521767381416503,74.785043,813.721523,7.0
GERAL,GERAL,13,SUNDAY,4700,1149,0.244468085106383,78.871651,965.729364,8.0
GERAL,GERAL,14,SUNDAY,4193,1019,0.24302408776532317,68.013395,835.167777,8.0
GERAL,GERAL,15,SUNDAY,4008,958,0.23902195608782434,70.039447,854.669685,5.0
GERAL,GERAL,16,SUNDAY,3759,811,0.2157488693801543,57.756935,679.72286,7.0
GERAL,GERAL,17,SUNDAY,3342,715,0.2139437462597247,47.454101,634.423083,2.0
GERAL,GERAL,18,SUNDAY,2604,597,0.22926267281105991,42.641976,572.880864,8.0
GERAL,GERAL,19,SUNDAY,2134,436,0.204311152764761,29.084221,346.000513,2.0
GERAL,GERAL,20,SUNDAY,1700,314,0.18470588235294116,21.780239,277.333333,4.0
GERAL,GERAL,21,SUNDAY,1021,201,0.19686581782566112,13.428237,156.583332,2.0
GERAL,GERAL,22,SUNDAY,773,160,0.2069857697283312,10.558549,238.657738,3.0
GERAL,GERAL,23,SUNDAY,368,88,0.2391304347826087,5.279476,88.007543,2.0
GERAL,GERAL,0,MONDAY,288,74,0.2569444444444444,3.810612,53.533332,0.0
GERAL,GERAL,1,MONDAY,115,29,0.25217391304347825,1.439839,11.5,0.0
GERAL,GERAL,2,MONDAY,68,13,0.19117647058823528,0.627176,9.1375,0.0
GERAL,GERAL,3,MONDAY,42,10,0.23809523809523808,0.837011,8.5,0.0
GERAL,GERAL,4,MONDAY,54,11,0.2037037037037037,0.46,6.404764,0.0
GERAL,GERAL,5,MONDAY,70,19,0.2714285714285714,1.371196,10.238095,0.0
GERAL,GERAL,6,MONDAY,288,56,0.19444444444444445,3.850454,108.74432,2.0
GERAL,GERAL,7,MONDAY,601,150,0.24958402662229617,10.976608,168.595529,1.0
