shopping,shopping_sigla,data,impressoes,cliques,ctr,cpc_medio,custo,conversoes,valor_conversoes,roas,cpa,impression_share
GERAL,GERAL,2026-02-21,109841,4134,0.03763621962655111,0.17382074842767295,718.574974,3673.987728,0.0,0.0,0.19558447855544933,0.23053823053823053
GERAL,GERAL,2026-02-22,106725,3153,0.029543218552354183,0.19985122232794164,630.130904,3072.32218,0.0,0.0,0.20509922693068602,0.20997433401185947
GERAL,GERAL,2026-02-23,42991,2009,0.04673071107906306,0.1742067829766053,349.981427,1778.427454,0.0,0.0,0.19679263622074067,0.22390826695962648
GERAL,GERAL,2026-02-24,48733,2369,0.04861182361028461,0.17466029970451669,413.77025,2064.199585,0.0,0.0,0.20045069915078004,0.20605187319884727
GERAL,GERAL,2026-02-25,26789,2307,0.08611743626115197,0.16275528131772865,375.476434,1565.363858,0.0,0.0,0.2398652761024715,0.24253581470076316
GERAL,GERAL,2026-02-26,35282,2223,0.0630066322770818,0.19630734952766532,436.391238,1438.851091,0.0,0.0,0.3032914529721825,0.21731477916506242
GERAL,GERAL,2026-02-27,42381,2354,0.05554375781600245,0.23303643542905694,548.567769,1566.732733,1.0,0.0018229288275957752,0.35013487459957215,0.2142359729407083
GERAL,GERAL,2026-02-28,49765,3868,0.07772530895207475,0.1644632727507756,636.143939,2273.538224,0.0,0.0,0.27980349408015937,0.24845818030628508
GERAL,GERAL,2026-03-01,40429,3748,0.09270573103465335,0.1414029658484525,529.978316,2019.362781,0.0,0.0,0.262448293583757,0.24869268257977303
GERAL,GERAL,2026-03-02,43884,2331,0.05311730926989335,0.16506693264693265,384.77102,1247.412564,0.0,0.0,0.3084553026836437,0.25979438732981386
GERAL,GERAL,2026-03-03,41598,2517,0.06050771671714986,0.18587903337306316,467.857527,1342.571919,0.0,0.0,0.34847855848830694,0.25958317826572386
GERAL,GERAL,2026-03-04,45842,2765,0.060315867545046024,0.17125600650994577,473.522858,1297.319404,0.0,0.0,0.3650009832119955,0.27093898021733076
GERAL,GERAL,2026-03-05,50530,2683,0.05309716999802098,0.19810984345881474,531.52871,1178.591342,0.0,0.0,0.45098643699352753,0.24934481467615124
GERAL,GERAL,2026-03-06,51924,3285,0.06326554194592096,0.16532248432267885,543.084361,1301.999996,0.0,0.0,0.41711548592047765,0.2744612220092562
GERAL,GERAL,2026-03-07,53777,5572,0.10361306878405266,0.13208451399856425,735.974912,1423.0,0.0,0.0,0.5171995165144062,0.27865221628325904
GERAL,GERAL,2026-03-08,64932,5719,0.08807675722294092,0.12520550445882148,716.05028,329.0,0.0,0.0,2.1764446200607903,0.3048658212916544
GERAL,GERAL,2026-03-09,86495,3786,0.04377131626105555,0.24595726862123615,931.194219,5.0,0.0,0.0,186.23884379999998,0.2858866765399594
